Activity,Cosine Similarity,Euclidean,Mahalanobis,Average
Jogging,0.9984062646824211,0.23237885241667933,14.89987587275415,5.044617001511736
Stairs,-0.016008440628800528,5.9120291864434025,4.458826508823113,3.4516157515459047
Sitting,0.9897784898337658,1.1152417121989662,20.204867688161272,7.1101454895870395
Standing,0.9798005797423808,0.7048422175412999,20.424052960737818,7.049837008907811
Typing,-0.2833749161963289,3.9236399453431563,20.72270085711367,6.7058156496538075
Brushing teeth,0.26581319943591875,2.3350872380650562,20.19413726487358,8.430421640418439
Eating soup,-0.3928635723234844,4.0227783301822715,20.521829447826025,6.9997316301876635
Eating chips,-0.5732370423332501,4.590648221737704,20.582821887657516,7.476330359548118
Eating pasta,-0.34650967886195894,4.61971912238953,20.75719821247663,7.163665020658421
Drinking from cup,-0.39037337350905,4.307308354496282,20.507193560955695,7.084283931043932
Eating sandwich,-0.4109161390927206,4.9468947192079655,20.683860496612063,7.399056213239105
Kicking something,0.8762778606821633,1.451131947714856,6.329630778608442,2.640651086864109
Playing catch with ball,0.28521685058302154,1.975625979923474,14.304716468422862,6.262148885423489
Dribbling basketball,0.6016193609807448,0.9994680440946492,13.492641972764199,5.051430188772535
Writing,0.3771492230340533,1.793589537334425,20.901115530745503,8.115391821581644
Clapping,-0.15365520590683543,4.496377372150139,19.30221181171524,5.430170535950654
Folding clothes,0.3647160920824928,2.4001638330326394,18.28220758085194,7.474743380337158
